engine_name,display_name,category,price,kill_award,profile,score_ettk,p_win_vs_ak
galilar,Galil AR,Automatic Rifles,1800.0,300.0,MID,0.8358353999999999,0.08952
galilar,Galil AR,Automatic Rifles,1800.0,300.0,LONG,4.0556001,0.12325999999999998
glock,Glock-18,Pistols,200.0,300.0,CQC,1.3643325000000002,0.0
glock,Glock-18,Pistols,200.0,300.0,MID,2.8858004999999993,0.0
glock,Glock-18,Pistols,200.0,300.0,LONG,6.658805399999999,0.00347
hkp2000,P2000,Pistols,200.0,300.0,CQC,1.0618914,0.0
hkp2000,P2000,Pistols,200.0,300.0,MID,2.1453557999999995,0.00028000000000000003
hkp2000,P2000,Pistols,200.0,300.0,LONG,4.6624343999999995,0.02847
m249,M249,LMGs,5200.0,300.0,CQC,0.2521608,0.8500000000000001
m249,M249,LMGs,5200.0,300.0,MID,0.6233679999999999,0.17609999999999998
m249,M249,LMGs,5200.0,300.0,LONG,3.2919887999999995,0.247775
m4a1,M4A4,Automatic Rifles,2900.0,300.0,CQC,0.35999999999999993,0.0
m4a1,M4A4,Automatic Rifles,2900.0,300.0,MID,0.47748689999999994,0.26561
m4a1,M4A4,Automatic Rifles,2900.0,300.0,LONG,1.5130421999999997,0.6584800000000001
m4a1_silencer,M4A1-S,Automatic Rifles,2900.0,300.0,CQC,0.3,0.5
m4a1_silencer,M4A1-S,Automatic Rifles,2900.0,300.0,MID,0.43458,0.507645
m4a1_silencer,M4A1-S,Automatic Rifles,2900.0,300.0,LONG,1.2602247,0.757975
mac10,MAC-10,SMGs,1050.0,600.0,CQC,0.49601700000000004,0.0
mac10,MAC-10,SMGs,1050.0,600.0,MID,2.4675468,0.0014
mac10,MAC-10,SMGs,1050.0,600.0,LONG,9.8348111,0.0023250000000000002
mag7,MAG-7,Shotguns,1300.0,900.0,CQC,1.7840225999999997,0.32186000000000003
mag7,MAG-7,Shotguns,1300.0,900.0,MID,10.2659515,0.0
mag7,MAG-7,Shotguns,1300.0,900.0,LONG,12.0,0.00225
mp5sd,MP5-SD,SMGs,1400.0,600.0,CQC,0.464,0.0
mp5sd,MP5-SD,SMGs,1400.0,600.0,MID,0.7709847999999999,0.09373000000000001
mp5sd,MP5-SD,SMGs,1400.0,600.0,LONG,4.879881599999999,0.102305
mp7,MP7,SMGs,1400.0,600.0,CQC,0.39999999999999997,0.0
mp7,MP7,SMGs,1400.0,600.0,MID,0.686202,0.11039
mp7,MP7,SMGs,1400.0,600.0,LONG,4.8174442,0.12811
mp9,MP9,SMGs,1250.0,600.0,CQC,0.4305000000000001,0.0
mp9,MP9,SMGs,1250.0,600.0,MID,0.6655685000000001,0.12742
mp9,MP9,SMGs,1250.0,600.0,LONG,3.9320223,0.17811
negev,Negev,LMGs,1700.0,300.0,CQC,0.53017725,0.32520000000000004
negev,Negev,LMGs,1700.0,300.0,MID,1.31713125,0.016730000000000002
negev,Negev,LMGs,1700.0,300.0,LONG,3.28726275,0.13986
nova,Nova,Shotguns,1050.0,900.0,CQC,1.9359606000000005,0.222
nova,Nova,Shotguns,1050.0,900.0,MID,10.2112926,0.0
nova,Nova,Shotguns,1050.0,900.0,LONG,12.0,0.00225
p250,P250,Pistols,300.0,300.0,CQC,0.836556,0.0
p250,P250,Pistols,300.0,300.0,MID,2.0801765,0.00074
p250,P250,Pistols,300.0,300.0,LONG,7.788516099999999,0.004240000000000001
p90,P90,SMGs,2350.0,300.0,CQC,0.3837477000000001,0.0
p90,P90,SMGs,2350.0,300.0,MID,1.2466822000000004,0.019585
p90,P90,SMGs,2350.0,300.0,LONG,6.733929700000001,0.019885
revolver,R8 Revolver,Pistols,600.0,300.0,CQC,8.1648564,0.0
revolver,R8 Revolver,Pistols,600.0,300.0,MID,11.828792299999998,0.0001
revolver,R8 Revolver,Pistols,600.0,300.0,LONG,11.9875799,0.0023699999999999997
sawedoff,Sawed-Off,Shotguns,1100.0,900.0,CQC,3.9794257,0.20368
sawedoff,Sawed-Off,Shotguns,1100.0,900.0,MID,11.8461555,0.0
sawedoff,Sawed-Off,Shotguns,1100.0,900.0,LONG,12.0,0.00225
scar20,SCAR-20,Sniper Rifles,5000.0,300.0,CQC,0.5499999999999999,0.0
scar20,SCAR-20,Sniper Rifles,5000.0,300.0,MID,0.5499999999999999,0.26384
scar20,SCAR-20,Sniper Rifles,5000.0,300.0,LONG,0.5499999999999999,1.0
sg556,SG 553,Automatic Rifles,3000.0,300.0,CQC,0.33,0.0
sg556,SG 553,Automatic Rifles,3000.0,300.0,MID,0.4600959,0.25648
sg556,SG 553,Automatic Rifles,3000.0,300.0,LONG,1.2134969999999998,0.72116
ssg08,SSG 08,Sniper Rifles,1700.0,300.0,CQC,1.5500000000000003,0.0
ssg08,SSG 08,Sniper Rifles,1700.0,300.0,MID,1.5500000000000003,0.01706
ssg08,SSG 08,Sniper Rifles,1700.0,300.0,LONG,1.5500000000000003,0.43281
tec9,Tec-9,Pistols,500.0,300.0,CQC,0.6166066,0.0
tec9,Tec-9,Pistols,500.0,300.0,MID,1.4948015999999997,0.00569
tec9,Tec-9,Pistols,500.0,300.0,LONG,3.9428495999999997,0.051625000000000004
ump45,UMP-45,SMGs,1200.0,600.0,CQC,0.3977685,0.0
ump45,UMP-45,SMGs,1200.0,600.0,MID,1.5600551999999999,0.01359
ump45,UMP-45,SMGs,1200.0,600.0,LONG,8.537820199999999,0.00643
usp_silencer,USP-S,Pistols,200.0,300.0,CQC,1.0582500000000001,0.0
usp_silencer,USP-S,Pistols,200.0,300.0,MID,1.8915364999999995,0.0012799999999999999
usp_silencer,USP-S,Pistols,200.0,300.0,LONG,3.6377736999999994,0.06939999999999999
xm1014,XM1014,Shotguns,2000.0,600.0,CQC,1.2064283,0.0
xm1014,XM1014,Shotguns,2000.0,600.0,MID,8.9684932,0.0
xm1014,XM1014,Shotguns,2000.0,600.0,LONG,11.9957928,0.00225
