engine_name,display_name,category,armor_ratio,damage,range_modifier,hs_mult,cycle_time,kill_award,move_speed,mag_size,price,pellets,spread,inacc_crouch,inacc_stand,inacc_fire,inacc_move,inacc_jump,inacc_move_alt,inacc_jump_alt,spread_alt,inacc_crouch_alt,inacc_stand_alt,inacc_fire_alt,cycle_time_alt,move_speed_alt,full_auto,armor_pen,deploy_time,reload_clip_ready,reload_fire_ready
xm1014,XM1014,Shotguns,1.6,20.0,0.7,4.0,0.35,600.0,215.0,7.0,2000.0,6.0,38.0,5.25,7.0,8.83,36.03,130.830002,,,,,,,,,1.0,0.8,1.0,0.53,4.22
bizon,PP-Bizon,SMGs,1.26,27.0,0.8,4.0,0.08,600.0,240.0,64.0,1300.0,1.0,1.0,10.5,14.0,2.88,27.57,33.470001,,,,,,,,,1.0,0.63,1.1,1.17,2.43
mac10,MAC-10,SMGs,1.15,29.0,0.8,4.0,0.075,600.0,240.0,30.0,1050.0,1.0,0.6,9.98,13.3,4.76,13.99,33.299999,,,,,,,,,1.0,0.575,1.0,1.27,2.57
mp7,MP7,SMGs,1.25,30.0,0.87,4.0,0.08,600.0,220.0,30.0,1400.0,1.0,0.6,8.5,10.0,2.18,19.86,59.599998,,,,,,,,,1.0,0.625,1.0,1.43,3.13
mp5sd,MP5-SD,SMGs,1.25,28.0,0.87,4.0,0.08,600.0,235.0,30.0,1400.0,1.0,0.6,8.5,10.0,2.18,30.0,59.599998,,,,,,,,,1.0,0.625,1.0,1.97,2.94
mp9,MP9,SMGs,1.2,26.0,0.87,4.0,0.07,600.0,240.0,30.0,1250.0,1.0,0.6,8.0,9.0,3.7,29.04,50.0,,,,,,,,,1.0,0.6,1.2,0.87,2.13
p90,P90,SMGs,1.38,26.0,0.86,4.0,0.07,300.0,230.0,50.0,2350.0,1.0,1.0,10.24,13.65,2.85,31.0,90.080002,,,,,,,,,1.0,0.69,1.0,1.97,3.37
ump45,UMP-45,SMGs,1.3,35.0,0.75,4.0,0.09,600.0,230.0,25.0,1200.0,1.0,1.0,10.07,13.43,3.42,28.76,37.25,,,,,,,,,1.0,0.65,1.0,1.5,3.43
ak47,AK-47,Automatic Rifles,1.55,36.0,0.98,4.0,0.1,300.0,215.0,30.0,2700.0,1.0,0.6,4.81,6.41,7.8,175.06,140.759995,,,,,,,,,1.0,0.775,1.0,1.17,2.43
aug,AUG,Automatic Rifles,1.8,28.0,0.98,4.0,0.1,300.0,220.0,30.0,3300.0,1.0,0.5,3.68,4.9,7.29,135.45,105.989998,105.45,105.989998,0.3,3.11,3.68,7.29,,150.0,1.0,0.9,1.17,1.53,3.77
famas,FAMAS,Automatic Rifles,1.4,30.0,0.96,4.0,0.09,300.0,220.0,25.0,1950.0,1.0,0.6,5.5,7.59,6.05,99.34,110.38999,99.34,110.38999,0.6,3.25,3.69,3.35,,220.0,1.0,0.7,1.0,1.63,3.3
galilar,Galil AR,Automatic Rifles,1.55,30.0,0.98,4.0,0.09,300.0,215.0,35.0,1800.0,1.0,0.6,6.58,8.77,7.0,123.56,149.779999,,,,,,,,,1.0,0.775,1.1,1.17,3.03
m4a1,M4A4,Automatic Rifles,1.4,33.0,0.97,4.0,0.09,300.0,225.0,30.0,2900.0,1.0,0.6,4.1,4.9,7.0,137.88,97.269997,,,,,,,,,1.0,0.7,1.13,1.37,3.07
m4a1_silencer,M4A1-S,Automatic Rifles,1.4,38.0,0.94,3.475,0.1,300.0,225.0,20.0,2900.0,1.0,0.6,4.1,4.9,12.0,92.88,99.699997,122.0,99.699997,0.5,4.1,4.9,7.0,,225.0,1.0,0.7,1.13,1.37,3.07
sg556,SG 553,Automatic Rifles,2.0,30.0,0.98,4.0,0.11,300.0,210.0,30.0,3000.0,1.0,0.6,3.81,5.81,7.95,136.01,109.0,136.01,109.0,0.3,3.05,3.81,9.2,,150.0,1.0,1.0,1.0,1.03,2.77
m249,M249,LMGs,1.6,32.0,0.97,4.0,0.08,300.0,195.0,100.0,5200.0,1.0,2.0,5.34,7.7,3.56,156.25,279.470001,,,,,,,,,1.0,0.8,1.1,3.73,5.7
negev,Negev,LMGs,1.42,35.0,0.97,4.0,0.075,300.0,150.0,150.0,1700.0,1.0,2.0,7.63,10.17,30.0,159.14,292.230011,,,,,,,,,1.0,0.71,1.1,3.83,5.7
awp,AWP,Sniper Rifles,1.95,115.0,0.99,4.0,1.455,100.0,200.0,5.0,4750.0,1.0,0.2,60.6,80.8,53.85,176.48,133.830002,176.48,133.830002,0.2,1.5,2.0,53.85,,100.0,0.0,0.975,1.25,2.0,3.67
g3sg1,G3SG1,Sniper Rifles,1.65,80.0,0.98,4.0,0.25,300.0,215.0,20.0,5000.0,1.0,0.3,19.35,25.8,18.61,150.48,153.770004,150.48,153.770004,0.3,1.5,2.0,18.61,,120.0,1.0,0.825,1.0,2.6,4.67
scar20,SCAR-20,Sniper Rifles,1.65,80.0,0.98,4.0,0.25,300.0,215.0,20.0,5000.0,1.0,0.3,19.35,25.8,18.61,150.48,153.770004,150.48,153.770004,0.3,1.5,2.0,18.61,,120.0,1.0,0.825,1.0,1.4,3.07
ssg08,SSG 08,Sniper Rifles,1.7,88.0,0.98,4.0,1.25,300.0,230.0,10.0,1700.0,1.0,0.28,23.78,31.7,22.92,123.45,5.72,123.45,5.72,0.23,2.8,3.0,22.92,,230.0,0.0,0.85,1.0,1.97,3.7
